Title,Author,Genre,My_Rating,Average_Rating,Pages,Original_Publication_Year,Date_Read,Month,Day,Year,Date_Added,SeasonColours,rating_gap
Green Dot,Madeleine Gray,Lit-fic,4,3.84,320,2024,01/30/2024,1,30,2024,2023/11/21,,
Good Material,Dolly Alderton,Lit-fic,4,4.15,345,2023,01/22/2024,1,22,2024,2023/11/08,,
"Neverwhere (London Below, #1)",Neil Gaiman,Fantasy,3,4.17,370,1996,01/21/2024,1,21,2024,2024/01/21,,
Coasting : A Year by the Bay,Susan Kurosawa,Non-fiction,3,3,272,,01/15/2024,1,15,2024,2024/01/15,,
The Bee Sting,Paul Murray,Lit-fic,4,4.06,656,2023,01/14/2024,1,14,2024,2024/01/08,,
Ink Blood Sister Scribe,Emma Törzs,Fantasy,4,4.06,416,2023,01/05/2024,1,5,2024,2024/01/05,,
Pineapple Street,Jenny   Jackson,Lit-fic,3,3.59,304,2023,12/23/2023,12,23,2023,2023/12/23,,
Enter Ghost,Isabella Hammad,Lit-fic,5,4.07,336,2023,12/18/2023,12,18,2023,2023/12/18,,
"Emily Wilde's Encyclopaedia of Faeries (Emily Wilde, #1)",Heather Fawcett,Fantasy,4,4.07,325,2023,12/5/2023,12,5,2023,2023/12/05,#ca0020,-0.07
Hello Beautiful,Ann Napolitano,Lit-fic,4,4.2,416,2023,11/29/2023,11,29,2023,2023/11/29,#f4a582,-0.2
Interpreter of Maladies,Jhumpa Lahiri,Lit-fic,5,4.17,198,1999,11/22/2023,11,22,2023,2023/11/22,#f4a582,0.83
Black Friend: Essays,Ziwe,Non-fiction,4,4.43,192,2023,11/7/2023,11,7,2023,2023/10/05,#f4a582,-0.43
We Share the Sun: The Incredible Journey of Kenya's Legendary Running Coach Patrick Sang and the Fastest Runners on Earth,Sarah Gearhart,Non-fiction,4,3.68,239,NA,11/1/2023,11,1,2023,2023/11/01,#f4a582,0.32
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Lit-fic,3,4.43,389,2017,10/10/2023,10,10,2023,2023/10/10,#f4a582,-1.43
Now Is Not the Time to Panic,Kevin    Wilson,Lit-fic,3,3.7,246,2022,9/23/2023,9,23,2023,2022/11/02,#f4a582,-0.7
Yellowface,R.F. Kuang,Lit-fic,2,3.87,329,2023,9/23/2023,9,23,2023,2023/06/22,#f4a582,-1.87
Tom Lake,Ann Patchett,Lit-fic,4,4.14,309,2023,9/14/2023,9,14,2023,2023/06/06,#f4a582,-0.14
I'm a Fan,Sheena Patel,Lit-fic,0,3.48,207,2022,8/23/2023,8,23,2023,2023/06/22,#0571b0,-3.48
